127.0.0.1 - - [29/Aug/2020:18:32:52 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/pages/product-index.jsp HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/ekko-lightbox/ekko-lightbox.min.css HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160409
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/css/base.css HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/font-awesome/css/all.min.css HTTP/1.1" 200 46934
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/css/brand.css HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/jquery/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/jquery/jquery.validate.min.js HTTP/1.1" 200 23264
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 60180
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/ekko-lightbox/ekko-lightbox.min.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/bootstrap/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/js/brand.js HTTP/1.1" 200 6555
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/js/base.js HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/images/image-demo.png HTTP/1.1" 200 7227
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/font-awesome/webfonts/fa-regular-400.eot? HTTP/1.1" 200 40644
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /pilot-project/plugins/font-awesome/webfonts/fa-solid-900.eot? HTTP/1.1" 200 168396
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:32:54 +0700] "GET /brand/api/findAll/1 HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:33:00 +0700] "GET /brand HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:33:03 +0700] "GET /pilot-project/pages/product-index.jsp HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:33:03 +0700] "GET /brand/api/findAll/1 HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:33:06 +0700] "GET /brand HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:40:34 +0700] "GET /pilot-project/pages/product-index.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [29/Aug/2020:18:40:34 +0700] "GET /brand/api/findAll/1 HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Aug/2020:20:31:19 +0700] "GET /brand HTTP/1.1" 404 1004
